Angle,Response (normalised)
-89.55,0.011770861
-89.1,0
-88.65,0.013209521
-88.2,0.017280277
-87.75,0.01456971
-87.3,0.013209521
-86.85,0.017067748
-86.4,0.02081971
-85.95,0.02293138
-85.5,0.023417473
-85.05,0.025712791
-84.6,0.031702851
-84.15,0.029675647
-83.7,0.028420089
-83.25,0.030963903
-82.8,0.036829715
-82.35,0.038549568
-81.9,0.037869474
-81.45,0.039229663
-81,0.040753335
-80.55,0.037862935
-80.1,0.034835208
-79.65,0.037634057
-79.2,0.041283024
-78.75,0.043382161
-78.3,0.042159299
-77.85,0.041381114
-77.4,0.041302642
-76.95,0.03967434
-76.5,0.039340832
-76.05,0.043441015
-75.6,0.0462791
-75.15,0.046926498
-74.7,0.043774523
-74.25,0.04431729
-73.8,0.045579388
-73.35,0.045965211
-72.9,0.045311274
-72.45,0.047848548
-72,0.047959717
-71.55,0.046625687
-71.1,0.048103584
-70.65,0.04886215
-70.2,0.053766675
-69.75,0.054577557
-69.3,0.052700759
-68.85,0.053465865
-68.4,0.056434737
-67.95,0.05402825
-67.5,0.053505101
-67.05,0.059410149
-66.6,0.060129479
-66.15,0.060508763
-65.7,0.058972012
-65.25,0.06126079
-64.8,0.062313628
-64.35,0.063471096
-63.9,0.060770337
-63.45,0.064399686
-63,0.069807743
-62.55,0.066773476
-62.1,0.066596913
-61.65,0.069408841
-61.2,0.074784201
-60.75,0.071887261
-60.3,0.071776092
-59.85,0.07386215
-59.4,0.079512163
-58.95,0.078250065
-58.5,0.074836516
-58.05,0.079211352
-57.6,0.082559508
-57.15,0.082572587
-56.7,0.077399948
-56.25,0.079499084
-55.8,0.082559508
-55.35,0.082147528
-54.9,0.079989537
-54.45,0.082598744
-54,0.086404656
-53.55,0.086215014
-53.1,0.082507193
-52.65,0.083200366
-52.2,0.087411719
-51.75,0.089334292
-51.3,0.087692911
-50.85,0.087686372
-50.4,0.090334816
-49.95,0.090315197
-49.5,0.087980643
-49.05,0.089079257
-48.6,0.093421397
-48.15,0.093146743
-47.7,0.089183887
-47.25,0.088961549
-46.8,0.090151713
-46.35,0.090459064
-45.9,0.088314151
-45.45,0.088752289
-45,0.089720115
-44.55,0.087529427
-44.1,0.082762229
-43.65,0.081323568
-43.2,0.083514256
-42.75,0.083043421
-42.3,0.083063039
-41.85,0.08367774
-41.4,0.08295841
-40.95,0.081729009
-40.5,0.082114831
-40.05,0.081375883
-39.6,0.083658122
-39.15,0.085999215
-38.7,0.084704421
-38.25,0.08171593
-37.8,0.080296887
-37.35,0.078766675
-36.9,0.078727439
-36.45,0.079276746
-36,0.078047345
-35.55,0.075915511
-35.1,0.072874706
-34.65,0.071266021
-34.2,0.072985875
-33.75,0.074136804
-33.3,0.074928067
-32.85,0.073986398
-32.4,0.075771645
-31.95,0.074084489
-31.5,0.074038713
-31.05,0.075980905
-30.6,0.079695265
-30.15,0.078812451
-29.7,0.076824483
-29.25,0.078550876
-28.8,0.081107769
-28.35,0.083076118
-27.9,0.080205336
-27.45,0.082742611
-27,0.086293487
-26.55,0.087804081
-26.1,0.088628041
-25.65,0.09122417
-25.2,0.095461679
-24.75,0.098208213
-24.3,0.100667015
-23.85,0.104283285
-23.4,0.113320691
-22.95,0.121828407
-22.5,0.128917081
-22.05,0.137686372
-21.6,0.150098091
-21.15,0.165622548
-20.7,0.182507193
-20.25,0.19710306
-19.8,0.215374052
-19.35,0.236031912
-18.9,0.257722992
-18.45,0.277210306
-18,0.302210306
-17.55,0.330100706
-17.1,0.358422705
-16.65,0.383978551
-16.2,0.414615485
-15.75,0.448574418
-15.3,0.480676171
-14.85,0.514478159
-14.4,0.547665446
-13.95,0.583507716
-13.5,0.616982736
-13.05,0.647436568
-12.6,0.677177609
-12.15,0.709285901
-11.7,0.73480905
-11.25,0.759756736
-10.8,0.787052053
-10.35,0.811417735
-9.9,0.831101229
-9.45,0.848842532
-9,0.865851426
-8.55,0.884737117
-8.1,0.89875752
-7.65,0.911561601
-7.2,0.925170024
-6.75,0.93997515
-6.3,0.950438138
-5.85,0.959750196
-5.4,0.972508501
-4.95,0.983658122
-4.5,0.990949516
-4.05,0.994807743
-3.6,0.999836516
-3.15,1
-2.7,0.99824091
-2.25,0.992335862
-1.8,0.984599791
-1.35,0.974843055
-0.9,0.959704421
-0.45,0.943218676
5.68434E-13,0.927053361
0.45,0.908246142
0.9,0.887562124
1.35,0.869984306
1.8,0.850895893
2.25,0.829224431
2.7,0.804309443
3.15,0.781022757
3.6,0.757794925
4.05,0.732101753
4.5,0.704348679
4.95,0.677092597
5.4,0.648992937
5.85,0.614347371
6.3,0.581042375
6.75,0.550850118
7.2,0.51963118
7.65,0.485652629
8.1,0.454047868
8.55,0.425215799
9,0.394801203
9.45,0.363660738
9.9,0.332971488
10.35,0.30743526
10.8,0.28047345
11.25,0.252112216
11.7,0.225255035
12.15,0.205244572
12.6,0.185718022
13.05,0.165060162
13.5,0.148410934
13.95,0.135816113
14.4,0.125425059
14.85,0.116368036
15.3,0.107010201
15.75,0.103577034
