Wavelength (nm),Raw count,Irradiance (W/m^2/nm),,W/m^2,Total Power
250.093,22.172,0.0010563833333333335,1.0563833333333336e-05,2.954411123188628e-06,0.0004914153518133856
250.347,25.772,0.0012699246376811594,1.2699246376811593e-05,3.5927370507245057e-06,0.0004914153518133856
250.601,32.972,0.0015590021739130438,1.5590021739130435e-05,3.9854942137679695e-06,0.0004914153518133856
250.855,32.771,0.0015791822463768117,1.5791822463768117e-05,3.684596012681436e-06,0.0004914153518133856
251.109,25.971,0.0013220744565217392,1.322074456521739e-05,3.410795746376686e-06,0.0004914153518133856
251.363,27.371,0.0013635914855072463,1.3635914855072463e-05,3.641815188405663e-06,0.0004914153518133856
251.617,29.971,0.0015039795289855074,1.5039795289855074e-05,3.3553835461959665e-06,0.0004914153518133856
251.872,22.97,0.0011276938405797101,1.1276938405797101e-05,2.792713894927433e-06,0.0004914153518133856
252.126,20.97,0.0010712934782608693,1.0712934782608692e-05,3.4680156884056693e-06,0.0004914153518133856
252.38,31.37,0.0016594275362318842,1.659427536231884e-05,4.372310905796942e-06,0.0004914153518133856
252.634,32.17,0.0017833369565217392,1.783336956521739e-05,4.2564388206524934e-06,0.0004914153518133856
252.888,28.569,0.0015681896739130434,1.5681896739130432e-05,3.933395224637536e-06,0.0004914153518133856
253.142,25.969,0.0015289719202898552,1.528971920289855e-05,3.8306480833331925e-06,0.0004914153518133856
253.396,26.569,0.0014872864130434783,1.4872864130434782e-05,3.6661462717394057e-06,0.0004914153518133856
253.65,23.769,0.0013994429347826086,1.3994429347826084e-05,3.5296141394926236e-06,0.0004914153518133856
253.904,24.569,0.0013797807971014492,1.379780797101449e-05,3.9977324728260154e-06,0.0004914153518133856
254.159,29.368,0.001755695652173913,1.755695652173913e-05,5.027983376811972e-06,0.0004914153518133856
254.413,36.968,0.002203346376811594,2.2033463768115942e-05,5.8907882463765954e-06,0.0004914153518133856
254.667,39.768,0.0024350695652173913,2.4350695652173912e-05,6.114260652173804e-06,0.0004914153518133856
254.922,39.968,0.0023604289855072465,2.3604289855072462e-05,6.0369590344200684e-06,0.0004914153518133856
255.176,38.967,0.0023930820652173913,2.393082065217391e-05,5.7578320923918435e-06,0.0004914153518133856
255.431,34.567,0.0021228646739130438,2.1228646739130438e-05,5.437647184782409e-06,0.0004914153518133856
255.685,33.567,0.0021587472826086955,2.1587472826086954e-05,5.477197331521537e-06,0.0004914153518133856
255.939,34.167,0.00215400652173913,2.1540065217391302e-05,5.589045652174436e-06,0.0004914153518133856
256.194,34.766,0.0022295586956521734,2.2295586956521733e-05,5.451320391303536e-06,0.0004914153518133856
256.448,32.166,0.0020628195652173907,2.0628195652173905e-05,5.354557894927938e-06,0.0004914153518133856
256.702,32.566,0.0021533677536231884,2.1533677536231884e-05,5.4945131793477275e-06,0.0004914153518133856
256.957,32.166,0.0021560543478260866,2.1560543478260866e-05,5.00429235507284e-06,0.0004914153518133856
257.211,26.765,0.0017843333333333333,1.7843333333333332e-05,4.44884796195586e-06,0.0004914153518133856
257.465,25.165,0.0017186965579710145,1.7186965579710143e-05,4.559830774457456e-06,0.0004914153518133856
257.72,27.565,0.001857641304347826,1.8576413043478258e-05,5.161179918477494e-06,0.0004914153518133856
257.974,31.965,0.002206279891304348,2.2062798913043478e-05,5.431919070652582e-06,0.0004914153518133856
258.228,30.564,0.002070821739130435,2.0708217391304345e-05,5.6706567391303334e-06,0.0004914153518133856
258.483,32.964,0.0023767521739130435,2.3767521739130433e-05,6.217770913043946e-06,0.0004914153518133856
258.737,34.764,0.002519130434782609,2.519130434782609e-05,6.54295907608684e-06,0.0004914153518133856
258.992,35.964,0.0026126021739130436,2.6126021739130434e-05,6.091301690216486e-06,0.0004914153518133856
259.246,29.763,0.002183698369565218,2.1836983695652176e-05,4.930214543478632e-06,0.0004914153518133856
259.5,22.163,0.0016983603260869564,1.6983603260869562e-05,3.7674099592390627e-06,0.0004914153518133856
259.755,15.763,0.0012564710144927537,1.2564710144927536e-05,3.694267338768394e-06,0.0004914153518133856
260.009,21.163,0.0016524009057971014,1.6524009057971014e-05,4.225799610506618e-06,0.0004914153518133856
260.263,21.962,0.0016750003623188404,1.6750003623188403e-05,4.292118423912966e-06,0.0004914153518133856
260.518,21.562,0.0016913670289855074,1.6913670289855073e-05,4.906483028985875e-06,0.0004914153518133856
260.772,27.562,0.0021720054347826086,2.1720054347826084e-05,6.600844326087452e-06,0.0004914153518133856
261.026,37.362,0.0030255097826086957,3.0255097826086957e-05,6.956393763586832e-06,0.0004914153518133856
261.281,30.561,0.0024304853260869565,2.4304853260869563e-05,5.6886240326091225e-06,0.0004914153518133856
261.535,25.761,0.002048746195652174,2.0487461956521737e-05,5.351987755433987e-06,0.0004914153518133856
261.789,25.761,0.0021654173913043476,2.1654173913043475e-05,5.846321942934678e-06,0.0004914153518133856
262.044,28.361,0.002419933152173913,2.419933152173913e-05,5.739321190217823e-06,0.0004914153518133856
262.298,24.76,0.002099217391304348,2.099217391304348e-05,5.278749456521645e-06,0.0004914153518133856
262.553,22.76,0.0020409782608695652,2.0409782608695653e-05,6.180307753623653e-06,0.0004914153518133856
262.807,32.56,0.002825405797101449,2.825405797101449e-05,8.119698985506038e-06,0.0004914153518133856
263.061,40.36,0.0035680579710144927,3.568057971014492e-05,9.43809164402157e-06,0.0004914153518133856
263.316,42.759,0.0038343668478260868,3.8343668478260866e-05,1.0103726576087716e-05,0.0004914153518133856
263.57,45.959,0.0041213233695652175,4.121323369565218e-05,1.119741100362403e-05,0.0004914153518133856
263.824,49.559,0.004695535688405797,4.695535688405796e-05,1.0745322119565023e-05,0.0004914153518133856
264.079,40.159,0.0037321679347826087,3.7321679347826085e-05,8.929897096015165e-06,0.0004914153518133856
264.333,35.158,0.003299247101449276,3.299247101449276e-05,7.908032318839405e-06,0.0004914153518133856
264.587,30.958,0.00292755,2.9275499999999998e-05,7.3305898641303036e-06,0.0004914153518133856
264.842,29.558,0.002821932246376812,2.821932246376812e-05,7.026848340580239e-06,0.0004914153518133856
265.096,27.358,0.002711019202898551,2.711019202898551e-05,6.957204728260746e-06,0.0004914153518133856
265.351,27.357,0.0027456119565217392,2.745611956521739e-05,6.9929078206526994e-06,0.0004914153518133856
265.605,27.757,0.0027606146739130436,2.7606146739130436e-05,7.692154405795958e-06,0.0004914153518133856
265.859,33.757,0.0032961998188405796,3.29619981884058e-05,8.61583213315202e-06,0.0004914153518133856
266.114,33.757,0.0034613155797101444,3.4613155797101445e-05,8.505125119565857e-06,0.0004914153518133856
266.368,31.556,0.0032356333333333326,3.235633333333333e-05,8.828066333333997e-06,0.0004914153518133856
266.622,37.156,0.0037156,3.7156e-05,1.0214698532608514e-05,0.0004914153518133856
266.877,40.956,0.004295928260869565,4.295928260869565e-05,1.0547257971012925e-05,0.0004914153518133856
267.131,38.756,0.004008999275362319,4.008999275362319e-05,1.0916422123189227e-05,0.0004914153518133856
267.385,43.955,0.004586608695652174,4.586608695652173e-05,1.356196365489106e-05,0.0004914153518133856
267.64,55.755,0.006050225543478261,6.05022554347826e-05,1.5637779184783785e-05,0.0004914153518133856
267.894,56.955,0.006262986413043478,6.262986413043478e-05,1.5748029909421472e-05,0.0004914153518133856
268.148,56.555,0.006137037137681159,6.137037137681158e-05,1.577192392663015e-05,0.0004914153518133856
268.403,57.154,0.0062330992753623195,6.23309927536232e-05,1.620110885144687e-05,0.0004914153518133856
268.657,58.554,0.0065236793478260875,6.523679347826088e-05,1.6427367472825796e-05,0.0004914153518133856
268.912,55.554,0.006360530434782609,6.360530434782609e-05,1.5724019086957706e-05,0.0004914153518133856
269.166,50.354,0.006020586956521739,6.020586956521739e-05,1.4435741440218476e-05,0.0004914153518133856
